date,epiweek,region,fips,positiveIncr,negativeIncr,ttlTestIncr,onVentilation,inIcu,deathIncr,death_jhu_incidence,recovered,covid-net,hospitalizeIncr,hospitalization,n_visits,cases,h_next1,h_next2,d_next1,d_next2
28/03/2020,202013,KS,20,206,3254,3460,0,0,3,3,0,,27,0.004484096198604,0.003188734595802,2.52670640020943,145,121,16,34
04/04/2020,202014,KS,20,437,3209,3646,0,0,16,16,0,,145,0.004204809930178,0.002577086601774,0.902824031508135,121,90,34,31
11/04/2020,202015,KS,20,570,4195,4765,0,0,34,34,0,,121,0.003460046547711,0.002001160600246,0.160016944667011,90,91,31,32
18/04/2020,202016,KS,20,522,4811,5333,0,0,31,31,0,,90,0.002498060512025,0.001349416492188,0.075418232255227,91,41,32,8
25/04/2020,202017,KS,20,1266,6257,7523,0,0,32,32,0,,91,0.000372381691234,0.000198293509387,0.05011161406843,41,,8,
02/05/2020,202018,KS,20,682,3577,4259,0,0,8,8,266,,41,,,0.000559022030288,,,,
07/03/2020,202010,KY,21,1,2,3,0,0,0,0,0,,0,0.018681148176881,0.022727935472959,8.56963229552937,0,0,0,2
14/03/2020,202011,KY,21,13,130,143,0,0,0,0,0,,0,0.019984484096199,0.022261362509696,7.33271724148858,0,0,2,6
21/03/2020,202012,KY,21,40,575,615,0,0,2,2,0,,0,0.01911559348332,0.015955337303092,8.11894500268242,0,0,6,29
28/03/2020,202013,KY,21,248,4107,4355,0,0,6,6,0,,0,0.016508921644686,0.011176609530919,3.8760137152864,0,459,29,53
04/04/2020,202014,KY,21,529,9920,10449,0,0,29,29,0,,0,0.016229635376261,0.008322495232208,1.53255214265533,459,549,53,47
11/04/2020,202015,KY,21,862,7854,8716,0,210,53,53,928,,459,0.014119472459271,0.006693134962062,1.20317069141196,549,135,47,63
18/04/2020,202016,KY,21,829,5479,6308,0,1326,47,47,5150,,549,0.010799069045772,0.005047736246304,0.482877499223612,135,188,63,25
25/04/2020,202017,KY,21,1257,13109,14366,0,1110,63,63,8775,,135,0.002482544608223,0.000816502685711,0.14388467258989,188,,25,
02/05/2020,202018,KY,21,596,6853,7449,0,665,25,25,6150,,188,,,0.316947025460008,,,,
07/03/2020,202010,LA,22,0,0,0,0,0,0,0,0,,0,0.020201706749418,0.021054833987508,7.15249641760031,0,0,0,16
14/03/2020,202011,LA,22,69,109,178,0,0,0,0,0,,0,0.020170674941815,0.020814257303325,6.53203083999483,0,927,16,121
21/03/2020,202012,LA,22,516,2071,2587,0,0,16,16,0,,0,0.019968968192397,0.018187597324204,5.45171985353394,927,1262.5,121,272
28/03/2020,202013,LA,22,2730,19666,22396,1008,0,121,121,0,,927,0.022591155934833,0.014668616552842,4.47023566239941,1262.5,1435.75,272,397
04/04/2020,202014,LA,22,9181,24156,33337,3306,0,272,272,0,,1262.5,0.026687354538402,0.012969999358462,1.9667670268615,1435.75,1043.125,397,461
11/04/2020,202015,LA,22,7518,30899,38417,3544,0,397,397,0,,1435.75,0.024840961986036,0.010785125653931,0.696100531359092,1043.125,1178.4375,461,377
18/04/2020,202016,LA,22,3566,37518,41084,2886,0,461,461,0,,1043.125,0.017750193948798,0.007853735208179,0.358252093767349,1178.4375,1039.78125,377,201
25/04/2020,202017,LA,22,2932,3157,5717,2093,0,377,377,29854,,1178.4375,0.004918541505043,0.00147845307734,0.091821764471585,1039.78125,,201,
02/05/2020,202018,LA,22,1148,16418,17566,1015,0,201,201,66836,,1039.78125,,,0.006217740894499,,,,
07/03/2020,202010,MA,25,0,0,0,0,0,0,0,0,,0,0.013529868114818,0.01320984702239,5.57496336840479,0,61,0,7
14/03/2020,202011,MA,25,30,0,30,0,0,0,0,0,,0,0.013405740884407,0.012415214944332,6.42833153554528,61,289,7,65
21/03/2020,202012,MA,25,388,4799,5187,0,0,7,7,0,,61,0.013157486423584,0.009659518380059,5.67691326018024,289,1020,65,232
28/03/2020,202013,MA,25,3732,26116,29848,0,0,65,65,0,,289,0.014134988363072,0.009147746160979,3.0209124196042,1020,1137,232,642
04/04/2020,202014,MA,25,7479,26276,33755,0,0,232,232,0,,1020,0.017858805275407,0.009506424126488,1.57473798510535,1137,1249,642,1037
11/04/2020,202015,MA,25,11129,28924,40053,0,0,642,642,0,,1137,0.021272304111715,0.009208983862408,1.06037848446124,1249,1237,1037,894
18/04/2020,202016,MA,25,14761,38489,53250,0,3920,1037,1037,0,,1249,0.017176105508146,0.007199804039355,0.137897694884812,1237,793,894,528
25/04/2020,202017,MA,25,15821,48893,64714,0,7190,894,894,0,,1237,0.004840961986036,0.001466788753259,0.101556386352048,793,,528,
02/05/2020,202018,MA,25,6917,31856,38773,0,4182,528,528,0,,793,,,0.091111593533752,,,,
07/03/2020,202010,MD,24,3,24,27,0,0,0,0.375,0,0.1,0,0.014228083785881,0.021866233531433,5.24291231956548,0,0,0,2
14/03/2020,202011,MD,24,23,53,76,0,0,0,0.75,0,0.3,0,0.014212567882079,0.020418399304806,5.14189820532545,0,226,2,3
21/03/2020,202012,MD,24,164,0,164,0,0,2,1.5,0,1.9,0,0.01366951124903,0.016372336889008,4.98799027082749,226,595,3,48
28/03/2020,202013,MD,24,802,11422,12224,0,0,3,3,25,7.8,226,0.013079906904577,0.013083726518258,2.74891326940032,595,888,48,153
04/04/2020,202014,MD,24,2133,10969,13102,0,0,48,48,399,11,595,0.012707525213344,0.011052676087553,1.06449919807323,888,1048,153,257
11/04/2020,202015,MD,24,4569,17059,21628,0,0,153,153,2200,14.3,888,0.010597362296354,0.009548707301284,0.675442630200791,1048,1003,257,412
18/04/2020,202016,MD,24,4614,13518,18132,0,0,257,257,4516,15.4,1048,0.008611326609775,0.007261041740784,0.037046129681523,1003,642,412,203
25/04/2020,202017,MD,24,5458,18295,23753,0,2653,412,412,7055,,1003,0.002435996896819,0.00162717320938,0.006413684364274,642,,203,
02/05/2020,202018,MD,24,3083,18723,21806,0,2202,203,203,5096,,642,,,0.076157431539911,,,,
07/03/2020,202010,ME,23,0,0,0,0,0,0,0.203125,0,,0,0.003723816912335,0.003769034718861,6.78490614119255,0,0,0,0
14/03/2020,202011,ME,23,3,90,93,0,0,0,0.40625,0,,0,0.003925523661753,0.003674991105953,7.62667041088256,0,0,0,1
21/03/2020,202012,ME,23,70,2173,2243,0,0,0,0.8125,0,,0,0.003506594259116,0.002999918349731,6.69647583449914,0,83,1,9
28/03/2020,202013,ME,23,138,1130,1268,0,0,1,1.625,83,,0,0.003646237393328,0.002060211240909,3.20509960441146,83,31,9,9
04/04/2020,202014,ME,23,245,2694,2939,0,0,9,3.25,577,,83,0.00344453064391,0.001964709587491,1.61275937413014,31,22,9,13
11/04/2020,202015,ME,23,160,0,160,0,0,9,6.5,1381,,31,0.003041117145074,0.001649772837289,0.946322819338736,22,20,13,18
18/04/2020,202016,ME,23,231,7988,8219,45,111,13,13,2203,,22,0.00211016291699,0.001094259402903,0.022234813092152,20,10,18,2
25/04/2020,202017,ME,23,143,2708,2851,61,120,18,18,3208,,20,1.55159038013964E-05,9.03985116322472E-05,0.000528951011356,10,,2,
02/05/2020,202018,ME,23,66,2762,2828,28,69,2,2,2281,,10,,,4.27470996493113E-05,,,,
07/03/2020,202010,MI,26,119,18,137,0,0,0,1.25,0,0.1,0,0.045865011636928,0.031987221732969,5.14982987419549,0,0,0,5
14/03/2020,202011,MI,26,1068,187,1255,0,0,0,2.5,0,0.2,0,0.043087664856478,0.032292681219855,5.46479382137458,0,0,5,87
21/03/2020,202012,MI,26,3347,3491,6838,0,0,5,5,0,4.7,0,0.041986035686579,0.025888967299068,6.31333120034899,0,0,87,448
28/03/2020,202013,MI,26,4744,10487,15231,0,0,87,87,0,15.3,0,0.049092319627618,0.020100546473583,4.30789585308626,0,3636,448,852
04/04/2020,202014,MI,26,7108,23222,30330,0,0,448,448,112,22.4,0,0.059301784328937,0.018985874503537,1.48181133541745,3636,1816,852,916
11/04/2020,202015,MI,26,7598,14616,22214,4269,4873,852,852,931,14.8,3636,0.053297129557797,0.016035529531153,0.304405798636749,1816,1981,916,966
18/04/2020,202016,MI,26,6798,16915,23713,8834,10415,916,916,6267,11,1816,0.035577967416602,0.01073628129684,0.212816982771309,1981,1507.5,966,396
25/04/2020,202017,MI,26,6412,37905,44317,7315,8874,966,966,27764,,1981,0.007602792862684,0.001882330298665,0.00600200045699,1507.5,,396,
02/05/2020,202018,MI,26,3196,25112,28308,3282,4182,396,396,33368,,1507.5,,,0.007607118835509,,,,
07/03/2020,202010,MN,27,1,12,13,0,0,0,0,0,0,0,0.008052754072925,0.009693782332048,7.73941053103229,0,0,0,1
